date,R0,R20,R65,R80,D0,D20,D65,D80,H0,H20,H65,H80,R0,R20,R65,R80,DH0,DH20,DH65,DH80,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,BRIGITATTACK,FEAR,BETAFACTOR,BFACTOR,F0,F20,F65,F80,FALL,S0,S20,S65,S80,SALL
2021-02-14,155090.257807406,758207.529900264,132012.00424615,52637.0411763492,2,1553,7877,9195,824,23148,35931,24693,793,20186,25938,14836,2,1372,7334,8340,437757.303926347,660189.529203822,0,27,0,0,0.374328394269827,0.331467102219286,0.533265044655273,0.942857142857143,0.46,0,3.14618104613206,0,0.007016308540916,0.007591868036719,0.17852918736208,0.013855137344595,0,0.019077015003801,0.011938267182685,0.105698876343068,0.015760796840154
2021-02-15,156542.648257314,763694.541896509,132891.685528113,52941.2642863615,2,1566,7942,9247,831,23357,36221,24822,798,20354,26110,14946,2,1385,7409,8384,440458.873142181,665611.266826117,2,43,2,0,1.09130433906423,0.334205709328676,0.526829646100592,0.957142857142857,0.46,0,3.15305430942873,0,0.006752360562145,0.00742855076185,0.175406694905539,0.013634748144953,0,0.019680680394601,0.012486500858323,0.118640043765576,0.016630261309701
2021-02-16,158011.199177272,769863.8712311,133881.099593704,53191.8026119833,2,1586,8010,9308,833,23587,36483,24959,803,20522,26304,15040,2,1396,7490,8430,443411.739223959,671536.233390101,2,47,2,0,1.4129574751546,0.332827078042414,0.52039424754591,0.971428571428571,0.46,0,3.1599275727254,0,0.006584019480669,0.007317651904173,0.177264443693769,0.013674802716323,0,0.020232732258617,0.013120483345278,0.131264524481169,0.017472607614463
2021-02-17,159400.535573608,775597.808188928,134753.491160334,53409.1458396556,2,1604,8076,9356,843,23833,36749,25146,811,20698,26497,15126,2,1408,7553,8485,446161.712421216,676999.268341309,3,36,0,0,1.32509304791484,0.334046158551537,0.513958848991229,0.985714285714286,0.46,0,3.16680083602208,0,0.006569927448999,0.007344595292265,0.181003231823116,0.01389476554497,0,0.020763413198074,0.013708105809392,0.142426964040423,0.018242950516176
2021-02-18,161130.590197426,782214.042050346,135806.640110406,53680.7386682627,2,1627,8156,9426,853,24085,37039,25307,816,20856,26676,15215,2,1428,7619,8558,449481.545979719,683350.465046722,0,44,0,0,1.20400822686344,0.333745253258034,0.507523450436548,1,0.46,0,3.17367409931875,0,0.006621731303885,0.007573158502834,0.190334927205328,0.014406663727623,0,0.021304316896673,0.014280797898793,0.152866332435505,0.018989354624147
2021-02-19,162691.584796969,788293.409392497,136860.150868946,53997.113088129,2,1635,8251,9502,860,24325,37350,25481,822,21034,26868,15313,2,1445,7699,8607,452546.261325328,689295.996821214,0,33,0,0,1.2453598497834,0.333782913357688,0.507690068795893,1,0.46,0,3.16351311980296,0,0.006846578311327,0.007817978723827,0.197602556028872,0.014932482154063,0,0.021731114796241,0.014765940331471,0.163529809063325,0.019670675136636
2021-02-20,164719.833156586,795040.099604395,137958.3435954,54313.6955430653,2,1656,8328,9580,877,24558,37650,25653,829,21228,27078,15417,2,1463,7756,8670,456007.53699059,696024.434908856,0,55,1,1,0.660175561662182,0.332722303517858,0.507856687155239,1,0.46,0,3.15335214028718,0,0.006931791130342,0.007917623922632,0.197944897490027,0.015021896160212,0,0.021750448797194,0.014785869371232,0.166163006918672,0.019779334817601
2021-02-21,167017.783292572,802170.543694995,139119.556267668,54716.1767503151,2,1675,8401,9635,881,24822,37981,25834,842,21414,27278,15501,2,1493,7840,8733,459741.644912202,703282.415093349,0,27,1,0,0.367719032178715,0.333004424008352,0.508023305514585,1,0.46,0,3.1431911607714,0,0.006948626774338,0.007945275019802,0.197633325286388,0.015032986975128,0,0.021769612774933,0.014802588639288,0.168410961743277,0.01987340679613
2021-02-22,168797.541309207,809382.809972987,140272.521912261,55056.8047109677,3,1696,8490,9690,887,25103,38255,25997,856,21593,27458,15589,3,1506,7921,8789,463299.605607091,710210.072298333,3,57,1,0,1.08329333649831,0.333250172963233,0.508189923873931,1,0.473333333333333,0,3.13303018125561,0,0.0071521930766,0.008164087345114,0.204352674537903,0.015509568274693,0,0.02209352532285,0.015119866510991,0.177916508363757,0.020433256632565
2021-02-23,170720.171859402,817022.884141837,141435.629315076,55362.9962380942,3,1710,8569,9745,890,25381,38592,26187,864,21778,27645,15677,3,1525,8003,8851,467060.024101353,717481.657453058,1,81,1,0,1.42721127557335,0.334426761229113,0.508356542233276,1,0.473333333333333,0,3.12286920173983,0,0.007508548119797,0.008432741234507,0.213417381528281,0.016184798664912,0,0.022468569687525,0.015526390741703,0.188787447888511,0.021081380770921
