Date,0,20,65,80,all
10.01.2021,0,1.98810196362548E-05,0,0.070195254953525,0.003557518869333
11.01.2021,0,4.90623128650627E-05,0,0.085538795783269,0.004248725263909
12.01.2021,0,7.18412438381275E-05,0,0.101967098571752,0.005042640264733
13.01.2021,0,8.72743065388134E-05,0,0.120991598821129,0.005852738766324
14.01.2021,0,8.80156326947415E-05,0,0.140620750238041,0.005990523385256
15.01.2021,0,9.13852970398695E-05,0,0.143912479573793,0.00609307398331
16.01.2021,0,0.000100568813336,0,0.146265989888914,0.006780778863616
17.01.2021,0,0.000126654635644,0,0.1625616167309,0.007550998104627
18.01.2021,0,0.00017246437092,0,0.18057268632963,0.008308389763585
19.01.2021,0,0.000218229117722,0,0.1982734167309,0.009124742472348
20.01.2021,0,0.000292936966403,0,0.216985347109499,0.009857319907099
21.01.2021,0,0.00038536461985,0,0.233410188233961,0.009968753317183
22.01.2021,0,0.000413849547158,0,0.235700138290637,0.010026179900596
23.01.2021,0,0.000432939838976,0,0.236816514146452,0.010510757711448
24.01.2021,0,0.00051832273912,0,0.247330702244389,0.011049186494331
25.01.2021,0,0.000704813561242,0,0.257689391203809,0.011580898964358
26.01.2021,0,0.000922053760882,0,0.267440910043074,0.012144685656053
27.01.2021,0,0.001236390062436,0,0.276566951076853,0.012659513544074
28.01.2021,0,0.001577212245789,0,0.284123312876899,0.012784840025738
29.01.2021,0,0.001730518724515,0,0.28494636082521,0.012887923158155
30.01.2021,0,0.001874062087734,0,0.285371226569939,0.01334791883234
31.01.2021,0,0.002333833253034,0,0.289879385422807,0.015514652541968
01.02.2021,0,0.002946736363555,0.01,0.295227212446157,0.017722107304895
02.02.2021,0,0.003663605061564,0.02,0.300059926796645,0.020004041684734
03.02.2021,0,0.004570087529536,0.03,0.303958312672863,0.022289534894486
04.02.2021,0,0.005487644844893,0.04,0.307782941985944,0.024069499193889
05.02.2021,0,0.005806955405465,0.05,0.307996543300839,0.02581965236383
06.02.2021,0,0.006078798621353,0.06,0.308173332350941,0.028019518100861
07.02.2021,0,0.006949123528003,0.07,0.31060455436409,0.030289236190706
08.02.2021,0,0.007885206695809,0.08,0.313779028655634,0.032597346076128
