Date,RA,RS,R,D,H,HC,I,Contacts,gammared,Calls,Positivity,Parks,Pdet,Dayadjust
24/02/2020,0,0,0,0,0,0,2.28571428571429,1,0,0,0,17.2448979591836,0.1,1
25/02/2020,0,0,0,0,0,0,2.85714285714286,1,0,0,0,14.1938775510204,0.1,1
26/02/2020,0,0,0,0,0,0,3.71428571428571,1,0,0,0,11.1428571428571,0.1,1
27/02/2020,0,0,0,0,0,0,5.85714285714286,1,0,0,0,11.0612244897959,0.1,1
28/02/2020,0,0,0,0,0,0,8.57142857142857,1,0,0,0,10.9795918367347,0.1,1
29/02/2020,0,7,7,0,0,0,9.57142857142857,1,0,0,0,10.8979591836735,0.1,1
01/03/2020,0,9,9,0,0,0,11.1428571428571,1,0,0,0,10.8163265306122,0.1,1
02/03/2020,1,11,12,0,0,0,13.4285714285714,1,0,0,0,10.734693877551,0.1,1
03/03/2020,3,11,14,0,0,0,18.2857142857143,1,0,0,0,10.6530612244898,0.1,1
04/03/2020,5,13,18,0,0,0,20.7142857142857,1,0,0,0,10.5714285714286,0.1,1
05/03/2020,9,17,26,0,0,0,21.1428571428571,1,0,0,0,10.8571428571429,0.1,1
06/03/2020,10,19,29,0,0,0,22.2857142857143,0.963117074373641,0.0369735900046749,0,0,11.1428571428572,0.1,1
07/03/2020,15,25,40,0,0,0,25.5714285714286,0.926234148747281,0.0739471800093499,0,0,11.4285714285715,0.1,1
08/03/2020,17,33,50,0,0,0,25.8571428571429,0.889351223120922,0.110920770014025,0,0,11.7142857142857,0.1,1
09/03/2020,23,44,67,0,0,0,26.2857142857143,0.852468297494562,0.1478943600187,0,0.0438502673796791,12,0.1,1
10/03/2020,30,68,98,0,1,0,23,0.815585371868203,0.184867950023375,0,0.0472350230414747,12.2857142857143,0.1,1
11/03/2020,38,87,125,0,1,0,22.2857142857143,0.778702446241844,0.22184154002805,0,0.0500441566087724,12.5714285714286,0.1,1
