date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404761904761905,1.78571428571429,0,2,1,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-02,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404761904761905,1.78571428571429,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-03,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404761904761905,2.4047619047619,0,1,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-04,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404761904761905,2.4047619047619,0,0,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-05,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879220779220779,3.98138528138528,1,1,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-06,3,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879220779220779,9.73152533740769,1,7,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-07,3,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24588169578682,14.1648989214454,0,4,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-08,3,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58344208325233,18.1395365966523,0,3,1,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-09,6,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58344208325233,22.4328555905406,3,3,0,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-10,7,48,6,1,0,0,0,0,0,0,0,0,0,0,0,0,2.41327444887601,40.5175858770099,1,13,2,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-11,11,69,10,3,0,0,0,0,1.80416666666667,0,0,0,0,0,0,0,3.86921519326687,63.9952253643238,3,14,3,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-12,13,88,11,3,0,0,0,0,1.80416666666667,0.902083333333333,0,0,0,0,0,0,4.11753904421119,80.5321006435487,1,7,1,0,1,0.130833333333333,0.941318422798737,0.666666666666667,0,0,0.179,0.179,0.179,0.179
2020-03-13,18,106,13,3,0,0,0,0,2.72708333333333,1.825,0,0,0,0,0,0,4.56063705035947,99.9933755666952,4,14,1,0,1,0.130833333333333,0.906599845419929,0.666666666666667,0.0357142857142857,0.0714285714285714,0.179,0.179,0.179,0.179
2020-03-14,25,140,17,5,0,0,0,0,3.66086956521739,1.825,0,0,0,0,0,0,5.85394570691763,136.86245775699,1,18,1,0,1,0.130833333333333,0.871881268041122,0.666666666666667,0.0714285714285714,0.142857142857143,0.179,0.179,0.179,0.179
2020-03-15,34,218,33,9,0,0,0,0,4.60996191955043,2.77409235433304,0,0,0,0,0,0,9.80193019906712,222.74074072399,2,31,4,1,1,0.130833333333333,0.837162690662314,0.666666666666667,0.107142857142857,0.214285714285714,0.179,0.179,0.179,0.179
2020-03-16,39,283,40,13,0,0,0,0,14.2982538839334,5.68057994364794,1.9376583928766,0,0,0,0,0,11.9963462642025,287.581858789811,2,18,2,1,1,0.130833333333333,0.802444113283506,0.666666666666667,0.142857142857143,0.285714285714286,0.179,0.179,0.179,0.179
2020-03-17,42,337,48,13,0,0,0,0,32.4764651341086,14.7696855687355,5.97726089291552,0,0,0,0,0,13.4175962241449,341.034202865279,1,17,1,0,1,0.130833333333333,0.767725535904699,0.666666666666667,0.178571428571429,0.357142857142857,0.179,0.179,0.179,0.179
2020-03-18,54,415,63,17,0,0,0,0,33.544020797878,17.9723525600438,5.97726089291552,0,0,0,0,0,16.7744246036209,430.776608477759,4,22,2,0,1,0.130833333333333,0.733006958525891,0.666666666666667,0.214285714285714,0.428571428571429,0.179,0.179,0.179,0.179
2020-03-19,67,587,77,19,0,0,0,0,40.2715643574947,19.0936098199799,9.34103267272386,1.12125725993611,0,0,0,0,19.4234796561633,598.497854380196,3,29,0,0,1,0.130833333333333,0.698288381147083,0.666666666666667,0.25,0.5,0.179,0.179,0.179,0.179
2020-03-20,81,684,86,20,0,0,0,0,48.386996218855,26.0496942725745,13.9784223077869,2.28060466870188,0,0,0,0,21.025836045182,700.10934207307,1,19,1,0,1,0.130833333333333,0.647679849576871,0.60952380952381,0.285714285714286,0.571428571428571,0.179,0.179,0.179,0.179
2020-03-21,95,812,98,21,0,0,0,0,61.9572850466017,31.7039812841356,18.5018519170358,2.28060466870188,0,0,0,0,23.0638209824802,830.81029089759,2,20,1,0,1,0.130833333333333,0.597071318006658,0.552380952380952,0.321428571428571,0.642857142857143,0.179,0.179,0.179,0.179
2020-03-22,107,899,111,24,0,0,0,1,76.1512888888694,41.5305993287825,22.8692377146566,3.37245111810709,0,1,0,0,25.5623219860838,927.85231493419,1,14,0,0,0.700915186846037,0.130833333333333,0.546462786436446,0.495238095238095,0.357142857142857,0.714285714285714,0.179,0.179,0.179,0.179
2020-03-23,128.40059208518,1028.83025865009,133.827298224192,28.2801184170361,0,0,0,1,85.6761285292683,51.8491756058813,27.6534466018315,4.5685033399008,0,1,0,0,30.0895456241149,1076.40621627101,2,14,2,0,1.07991314173849,0.130833333333333,0.495854254866233,0.438095238095238,0.392857142857143,0.785714285714286,0.179,0.179,0.179,0.179
2020-03-24,143.216598467177,1164.95231728469,150.495305403939,31.9841200125353,0,1,1,1,91.8944921772315,55.3470051578606,30.3292324046877,5.23744979061484,1,2,0,0,33.9011347421682,1217.16400927612,3,22,2,0,1.24815385104219,0.130833333333333,0.445245723296021,0.380952380952381,0.428571428571429,0.857142857142857,0.179,0.179,0.179,0.179
