date,R0,R20,R65,R80,D0,D20,D65,D80,HY,HO,RHY,RHO,DHY,DHO,DOY,DOO,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,REDUCTIONMED,FEAR,BETAFACTOR,ALHPA0,ALPHA20,ALPHA65,ALPHA80
2020-03-17,143.216598467177,1162.95231728469,149.495305403939,31.9841200125353,0,0,0,0,32.4764651341086,14.7696855687355,5.97726089291552,0,0,0,0,0,272.270046177939,1215.3782949904,1,17,1,0,1,0.130833333333333,0.767725535904699,0.666666666666667,0.178571428571429,0.357142857142857,0.179,0.179,0.179,0.179
2020-03-18,160.842630691995,1329.59844013751,175.934353741166,51.2125188032455,0,0,0,0,33.544020797878,17.9723525600438,5.97726089291552,0,0,0,0,0,316.76111666059,1400.82682671333,4,22,2,0,1,0.130833333333333,0.733006958525891,0.666666666666667,0.214285714285714,0.428571428571429,0.179,0.179,0.179,0.179
2020-03-19,178.139084529453,1502.56297851209,199.284566421733,60.7255684138472,0,0,0,0,40.2715643574947,19.0936098199799,9.34103267272386,1.12125725993611,0,0,0,0,359.479146902465,1581.23305097466,3,29,0,0,1,0.130833333333333,0.698288381147083,0.666666666666667,0.25,0.5,0.179,0.179,0.179,0.179
2020-03-20,211.910103013521,1832.47985139492,259.033291432009,123.072064076743,0,0,0,0,48.386996218855,26.0496942725745,13.9784223077869,2.28060466870188,0,0,0,0,457.374738695623,1969.12057122157,1,19,1,0,1,0.130833333333333,0.647679849576871,0.60952380952381,0.285714285714286,0.571428571428571,0.179,0.179,0.179,0.179
2020-03-21,228.325660009086,2020.77594634404,293.795647422616,136.590758073091,0,0,0,0,61.9572850466017,31.7039812841356,18.5018519170358,2.28060466870188,0,0,0,0,510.490941610462,2168.99707023837,2,20,1,0,1,0.130833333333333,0.597071318006658,0.552380952380952,0.321428571428571,0.642857142857143,0.179,0.179,0.179,0.179
2020-03-22,241.390650182104,2112.23087755517,316.441630389181,147.913749556373,0,0,0,1,76.1512888888694,41.5305993287825,22.8692377146566,3.37245111810709,0,1,0,0,541.378273950502,2276.59863373232,1,14,0,0,0.700915186846037,0.130833333333333,0.546462786436446,0.495238095238095,0.357142857142857,0.714285714285714,0.179,0.179,0.179,0.179
2020-03-23,263.900926248838,2286.68551707235,367.089751539332,159.16888758974,0,0,0,1,85.6761285292683,51.8491756058813,27.6534466018315,4.5685033399008,0,1,0,0,602.8550726119,2473.99000983836,2,14,2,0,1.07991314173849,0.130833333333333,0.495854254866233,0.438095238095238,0.392857142857143,0.785714285714286,0.179,0.179,0.179,0.179
2020-03-24,290.267836022957,2489.80837755445,412.987705590576,178.699931866865,0,1,1,1,91.8944921772315,55.3470051578606,30.3292324046877,5.23744979061484,1,2,0,0,673.98027394303,2697.78357709182,3,22,2,0,1.24815385104219,0.130833333333333,0.445245723296021,0.380952380952381,0.428571428571429,0.857142857142857,0.179,0.179,0.179,0.179
2020-03-25,305.97477561655,2642.95103859199,447.542972696482,196.762912399498,0,1,3,6,119.375613189852,146.034704499507,57.8485300720923,10.7413093240958,1,7,0,2,730.04847233594,2863.18322696858,1,23,4,0,1.15630638441548,0.130833333333333,0.394637191725809,0.323809523809524,0.464285714285714,0.928571428571429,0.179,0.179,0.179,0.179
2020-03-26,325.105661735836,2809.91149926939,477.978473340799,209.806698389919,0,1,3,6,152.813676391526,192.847992981851,62.8839078063996,10.7413093240958,1,7,0,2,794.900679295745,3027.9016534402,2,26,5,0,0.76989090548943,0.130833333333333,0.344028660155596,0.266666666666667,0.5,1,0.179,0.179,0.179,0.179
