date,R0,R20,R65,R80,D0,D20,D65,D80,H0,H20,H65,H80,R0,R20,R65,R80,DH0,DH20,DH65,DH80,RA,RS,I0,I20,I65,I80,DAYADJUST,PDET,REDUCTIONMEAN,BRIGITATTACK,FEAR,BETAFACTOR,BFACTOR,F0,F20,F65,F80,SALL,S0,S20,S65,S80,SALL
2020-03-14,26.0083577734376,145.646803531251,17.6856832859376,5.20167155468752,0,0,0,0,0,14,6,3,0,5,1,0,0,0,0,0,52.1598054614822,142.382710683831,1,18,1,0,0.961229471609797,0.132361111111111,0.597071318006658,0,0.071428571428571,0,1.9346685608373,0,0,0,0,0,0,0,0,0,0
2020-03-15,35.3713665718751,226.792879784376,34.3310322609376,9.36300879843754,0,0,0,0,0,18,8,3,0,6,1,0,0,0,0,0,74.133452396825,231.724835018801,2,31,4,1,0.961229471609797,0.132361111111111,0.546462786436446,0,0.107142857142857,0,1.92526875504449,0,0,0,0,0,0,0,0,0,0
2020-03-16,40.5730381265627,294.414609995314,41.6133724375002,13.5243460421876,0,0,0,0,0,25,11,3,0,10,1,0,0,0,0,0,90.9440916993393,299.181274902225,2,18,2,1,0.961229471609797,0.132361111111111,0.495854254866233,0,0.142857142857143,0,1.91586894925168,0,0,0,0,0,0,0,0,0,0
2020-03-17,43.6940410593752,350.592662785939,49.9360469250002,13.5243460421876,0,0,0,0,1,30,14,4,0,12,2,0,0,0,0,0,102.957514368531,354.789582443971,1,17,1,0,0.961229471609797,0.132361111111111,0.445245723296021,0,0.178571428571429,0,1.90646914345887,0,0,0,0,0,0,0,0,0,0
2020-03-18,56.1780527906252,431.738739039064,65.5410615890628,17.6856832859376,0,0,0,0,1,35,19,6,0,14,2,1,0,0,0,0,122.991850555986,448.151686148704,4,22,2,0,0.961229471609797,0.132361111111111,0.394637191725809,0,0.214285714285714,0,1.89706933766606,0,0,0,0,0,0,0,0,0,0
2020-03-19,69.7023988328128,610.676240520315,80.1057419421878,19.7663519078126,0,0,0,0,1,43,24,7,0,17,3,1,0,0,0,1,157.612880268933,622.637852934196,3,29,0,0,0.961229471609797,0.132361111111111,0.344028660155596,0,0.25,0,1.88766953187325,0,0,0,0,0,0,0,0,0,0
2020-03-20,84.2670791859378,711.588668681253,89.4687507406254,20.8066862187501,0,0,0,0,1,53,25,12,1,21,4,1,0,0,0,1,177.78341486007,728.347769966496,1,19,1,0,0.961229471609797,0.132361111111111,0.338070593614271,0,0.285714285714286,0,1.87765332609077,0,0,0,0,0,0,0,0,0,0
2020-03-21,98.8317595390629,844.751460481253,101.952762471875,21.8470205296876,0,0,0,0,1,64,32,20,1,25,6,1,0,0,1,1,203.062551521148,864.320451500732,2,20,1,0,0.961229471609797,0.132361111111111,0.332112527072945,0,0.321428571428571,0,1.86763712030829,0,0,0,0,0,0,0,0,0,0
2020-03-22,111.315771270313,935.260545532816,115.477108514063,24.9680234625001,0,0,0,1,1,78,41,29,1,26,6,1,0,0,2,1,221.744850070864,965.276598708828,1,14,0,0,0.961229471609797,0.132361111111111,0.32615446053162,0,0.357142857142857,0,1.85762091452581,0,0,0,0,0,0,0,0,0,0
2020-03-23,133.579541490904,1070.3274182044,139.225130082693,29.4207775066182,0,0,0,1,2,96,47,34,1,27,7,1,0,1,2,5,252.730547991464,1119.82231929315,2,14,2,0,0.673740334695299,0.132361111111111,0.320196393990294,0,0.392857142857143,0,1.84760470874333,0,0,0,0,0,0,0,0,0,0
2020-03-24,148.993141281164,1211.93986627742,156.565429846736,33.2741774541834,0,1,1,1,2,107,51,42,1,30,7,2,0,1,2,6,284.515133971301,1266.2574808882,3,22,2,0,1.03804433861777,0.132361111111111,0.314238327448968,0,0.428571428571429,0,1.83758850296085,0,0,0,0,0,0,0,0,0,0
2020-03-25,167.330107370332,1385.30754566592,184.070878980488,53.2781404605484,0,1,3,6,3,118,62,44,1,39,9,2,0,1,2,7,330.800721124742,1459.18595135254,1,23,4,0,1.19976226672502,0.132361111111111,0.308280260907643,0,0.464285714285714,0,1.82757229717837,0,0,0,0,0,0,0,0,0,0
2020-03-26,185.324201754986,1565.24848951245,208.362906399771,63.174892372108,0,1,3,6,4,133,74,53,2,48,10,4,0,1,3,11,375.241753681031,1646.86873635829,2,26,5,0,1.11147577491073,0.132361111111111,0.302322194366317,0,0.5,0,1.8175560913959,0,0,0,0,0,0,0,0,0,0
2020-03-27,220.457350999267,1908.47233212966,269.170280091796,128.036090976935,0,1,3,8,4,143,86,61,2,53,11,4,0,1,3,12,476.813586170119,2049.32246802755,0,28,5,0,0.740041828280794,0.132361111111111,0.316655121081802,0,0.5,0,1.80706954445361,0,0,0,0,0,0,0,0,0,0
2020-03-28,237.535018174903,2104.36322032078,305.334751757849,142.1000521804,0,1,4,12,4,157,98,67,2,56,12,5,0,1,5,14,532.072194529144,2257.26084790479,0,21,2,0,0.995452120313784,0.132361111111111,0.330988047797287,0,0.5,0,1.79658299751133,0,0,0,0,0,0,0,0,0,0
2020-03-29,251.126975723955,2199.50692316415,328.894144842873,153.879748722912,0,2,5,16,4,170,109,79,2,69,16,6,0,1,6,14,564.205346135818,2369.20244631807,2,12,3,0,1.10359379404081,0.132361111111111,0.345320974512772,0,0.5,0,1.78609645056905,0,0,0,0,0,0,0,0,0,0
2020-03-30,274.544761742196,2380.99476480551,381.584163383914,165.588641732032,0,3,6,19,6,184,120,91,2,77,19,7,0,1,7,15,628.160604253092,2574.55172741056,2,13,0,0,0.683241361396729,0.132361111111111,0.359653901228256,0,0.5,0,1.77560990362676,0,0,0,0,0,0,0,0,0,0
2020-03-31,301.971166125964,2592.27965783602,429.32642286677,185.90449683112,0,3,8,24,7,198,134,99,2,86,24,7,0,2,7,18,702.143810866834,2807.33793279305,0,19,1,0,0.984452778504907,0.132361111111111,0.373986827943741,0,0.5,0,1.76512335668448,0,0,0,0,0,0,0,0,0,0
2020-04-01,318.309253547501,2751.576010196,465.27021519415,204.693297365887,0,5,10,28,8,206,150,110,2,98,27,8,0,2,8,22,760.464982948315,2979.38379335522,1,21,0,0,1.22413349151486,0.132361111111111,0.388319754659226,0,0.5,0,1.7546368097422,0,0,0,0,0,0,0,0,0,0
2020-04-02,338.208871038602,2925.24539920925,496.928697566356,218.261218382546,0,6,11,32,8,218,161,119,3,107,34,8,0,2,10,31,827.923129105637,3150.72105709112,0,19,2,0,1.10554888855719,0.132361111111111,0.402652681374711,0,0.5,0,1.74415026279991,0,0,0,0,0,0,0,0,0,0
2020-04-03,364.92399008593,3197.739613492,527.918235661257,240.701918382302,0,6,14,37,9,227,183,126,6,118,39,9,0,2,11,37,928.574368963972,3402.70938865752,3,16,0,0,0.935799685403228,0.132361111111111,0.401344585662028,0,0.5,0,1.73334629216068,0,0,0,0,0,0,0,0,0,0
2020-04-04,392.189208892339,3392.63543681189,563.262037817713,258.878730919909,0,6,16,44,9,239,190,139,6,126,42,10,0,3,15,42,1009.46345777975,3597.5019566621,0,8,2,0,0.990272632385888,0.132361111111111,0.400036489949345,0,0.5,0,1.72254232152145,0,0,0,0,0,0,0,0,0,0
2020-04-05,405.539942888842,3469.40215729178,592.188628143469,268.891781417286,0,8,18,48,10,250,198,153,7,134,51,11,0,5,18,47,1047.16925885515,3688.85325088623,0,3,0,0,0.898826986077577,0.12732059062916,0.398728394236662,0,0.5,0,1.71173835088222,0,0,0,0,0,0,0,0,0,0
2020-04-06,434.497395007992,3695.27028382114,650.103532381768,293.505615718563,0,9,19,54,10,260,206,165,7,141,53,13,0,5,22,50,1146.2250936994,3927.15173323007,0,3,1,0,0.69066849934543,0.12777617328071,0.397420298523979,0,0.5,0,1.70093438024299,0,0,0,0,0,0,0,0,0,0
2020-04-07,451.929113509506,3818.26074213738,678.187967745318,308.032047803158,0,11,24,57,10,272,218,176,8,153,58,14,0,5,25,55,1199.81741402329,4056.59245717208,1,3,1,0,1.03260042883532,0.128130322712986,0.396112202811296,0,0.5,0,1.69013040960375,0,0,0,0,0,0,0,0,0,0
2020-04-08,476.226952101027,3979.96704724647,710.026514865243,330.654173388367,0,11,30,66,11,279,237,185,9,166,60,16,0,5,27,58,1266.29987790749,4230.57480969362,3,8,0,0,1.19352179786557,0.127185542035195,0.394804107098613,0,0.5,0,1.67932643896452,0,0,0,0,0,0,0,0,0,0
2020-04-09,489.863977103122,4119.97383726798,755.483264872227,362.473898393256,0,11,34,72,11,288,245,195,9,175,65,18,0,8,33,64,1326.98326702934,4400.81171060725,0,8,0,0,1.09994665241834,0.125968492184298,0.39349601138593,0,0.5,0,1.66852246832529,0,0,0,0,0,0,0,0,0,0
2020-04-10,505.584942982105,4227.07291731856,778.082153323266,373.282062435057,0,14,38,76,11,296,253,203,10,184,72,23,0,9,34,67,1367.81767342068,4516.20440263831,1,3,0,0,1.01774917159447,0.12000199983942,0.402073681427973,0,0.491428571428571,0,1.65755862020408,0,0,0,0,0,0,0,0,0,0
2020-04-11,525.00626014256,4336.80335927512,805.271997347902,381.050589299239,0,16,40,80,11,303,265,215,10,196,76,26,0,9,37,71,1410.78915024435,4637.34305582048,0,4,0,0,1.02979627152807,0.115070179639464,0.410651351470017,0,0.482857142857143,0,1.64659477208287,0,0,0,0,0,0,0,0,0,0
2020-04-12,534.065765670314,4413.16204872334,819.50836317723,395.286955128567,0,16,43,87,11,313,272,220,11,205,84,28,0,9,40,73,1443.44230550321,4718.58082719624,0,0,0,0,0.772669101923394,0.11446784456465,0.419229021512061,0,0.474285714285714,0,1.63563092396167,0,0,0,0,0,0,0,0,0,0
2020-04-13,540.115364360554,4460.34891850721,829.187721081614,408.596072247095,0,17,48,92,12,324,282,224,11,215,89,34,0,10,42,74,1464.56023244769,4773.68784374878,0,0,0,0,0.826501104621465,0.110046462346982,0.427806691554104,0,0.465714285714286,0,1.62466707584046,0,0,0,0,0,0,0,0,0,0
2020-04-14,549.336728701663,4526.05113943762,838.409085422723,415.512095502927,0,18,55,93,12,330,291,228,11,226,94,37,0,10,44,75,1491.92594357388,4837.38310549105,0,0,0,0,0.867550581895546,0.104547469830245,0.436384361596147,0,0.457142857142857,0,1.61370322771925,0,0,0,0,0,0,0,0,0,0
2020-04-15,565.008060634768,4616.59661282888,858.433565115023,426.830279676836,0,18,55,93,13,339,301,235,12,235,103,41,0,10,45,76,1537.47642147175,4929.39209678376,0,7,0,0,1.14859413844567,0.100212431913931,0.444962031638191,0,0.448571428571429,0,1.60273937959805,0,0,0,0,0,0,0,0,0,0
2020-04-16,572.195765391754,4683.68185722742,874.40624235277,438.011153743259,0,18,57,93,13,346,308,241,12,240,116,45,0,10,45,78,1574.70375247206,4993.59126624315,1,2,0,0,1.25213824221872,0.104165764802632,0.453539701680235,0,0.44,0,1.59177553147684,0,0,0,0,0,0,0,0,0,0
2020-04-17,580.037357499057,4744.67201806201,888.346850543532,451.951761934021,0,18,58,100,13,350,315,245,13,244,124,49,0,11,46,81,1612.61468796351,5052.3933000751,0,5,0,0,1.1477261092958,0.112768399002623,0.455600133315056,0,0.431428571428571,0,1.58081168346225,0,0,0,0,0,0,0,0,0,0
2020-04-18,586.549381618483,4816.30428337569,900.440609622466,459.394075213364,0,18,59,103,15,354,322,250,13,248,130,55,0,12,49,83,1651.46373046643,5111.22461936358,0,1,0,0,1.07493459354956,0.116866396426155,0.457660564949878,0,0.422857142857143,0,1.56984783544767,0,0,0,0,0,0,0,0,0,0
2020-04-19,601.651239674023,4916.98333707929,928.966341505153,469.461980583725,0,18,63,108,15,358,330,256,13,259,143,57,0,13,53,84,1710.97402018245,5206.08887865975,0,1,0,0,0.595953158008814,0.114367626591671,0.4597209965847,0,0.414285714285714,0,1.55888398743308,0,0,0,0,0,0,0,0,0,0
2020-04-20,625.353004295483,5018.76150280673,963.821877713181,512.682845481679,0,18,65,113,15,365,333,263,13,268,147,60,0,13,55,88,1793.36822218746,5327.25100810962,0,5,1,0,0.717246174346383,0.12183147521118,0.461781428219522,0,0.405714285714286,0,1.5479201394185,0,0,0,0,0,0,0,0,0,0
2020-04-21,639.765074008384,5101.9080588427,984.885671908959,540.398364160335,0,19,69,116,16,376,336,269,13,286,158,64,0,13,56,90,1855.03604172339,5411.92112719699,0,3,0,0,0.902021726162132,0.122512630335175,0.463841859854344,0,0.397142857142857,0,1.53695629140391,0,0,0,0,0,0,0,0,0,0
2020-04-22,653.353341936781,5146.44738149689,996.209228515957,544.172883029334,0,19,71,116,17,379,347,276,16,289,168,68,0,14,56,93,1885.89384389268,5454.28899108628,0,5,0,0,1.3246721432673,0.119144243270205,0.465902291489165,0,0.388571428571429,0,1.52599244338932,0,0,0,0,0,0,0,0,0,0
2020-04-23,660.164527951695,5177.097718564,999.614821523414,548.429874288656,0,19,72,121,17,383,351,280,16,300,175,79,0,14,57,95,1905.06970187867,5480.2372404491,1,1,0,0,1.17453846987631,0.11364745199421,0.467962723123987,0,0.38,0,1.51502859537474,0,0,0,0,0,0,0,0,0,0
2020-04-24,668.750134376528,5219.16719004568,1008.20042794825,557.874041355972,0,21,74,123,17,392,358,285,17,307,179,84,0,14,59,99,1934.73707350433,5519.2547202221,0,2,0,0,1.16474009000415,0.10500932601211,0.478357606632071,0,0.375,0,1.50422462505381,0,0,0,0,0,0,0,0,0,0
2020-04-25,682.333710134629,5260.88817273128,1021.78400370635,565.636084646316,0,21,76,125,18,395,367,290,17,315,189,86,0,16,59,101,1968.08771397986,5562.55425723871,0,2,0,0,1.03065645227106,0.105368536595171,0.488752490140154,0,0.37,0,1.49342065473289,0,0,0,0,0,0,0,0,0,0
2020-04-26,693.48980844896,5294.35646767427,1047.28365699625,575.198454630028,0,21,77,126,18,403,376,299,17,322,191,91,0,16,60,103,2003.31049921119,5607.01788853832,0,0,0,0,0.627459511629429,0.10669456101305,0.499147373648237,0,0.365,0,1.48261668441196,0,0,0,0,0,0,0,0,0,0
2020-04-27,697.073688758894,5325.4167636937,1055.64604438609,581.171588479918,0,21,78,126,20,409,387,306,17,327,201,95,0,17,60,104,2024.64034246031,5634.66774285831,0,0,0,0,0.837081526323334,0.096009037731863,0.50954225715632,0,0.36,0,1.47181271409104,0,0,0,0,0,0,0,0,0,0
2020-04-28,704.214546528272,5359.08080746363,1063.80702469395,592.392936403226,0,22,79,128,20,419,393,311,17,331,210,102,0,18,62,104,2050.44320736236,5669.05210772672,0,1,0,0,0.980274390846791,0.095191072038103,0.519937140664404,0,0.355,0,1.46100874377011,0,0,0,0,0,0,0,0,0,0
2020-04-29,708.281828914461,5391.61906655315,1071.1281329891,596.460218789416,0,22,81,131,22,423,399,312,19,336,215,106,0,18,65,105,2070.86963464653,5696.61961259959,0,1,0,0,1.229322069443,0.099020216373013,0.530332024172487,0,0.35,0,1.45020477344919,0,0,0,0,0,0,0,0,0,0
2020-04-30,717.326518228739,5442.87230600072,1083.18771874147,600.480080706872,0,24,83,135,22,424,406,312,19,342,223,112,0,18,67,106,2100.61204624096,5743.25457743684,0,4,0,0,0.995059054797254,0.096021067601545,0.54072690768057,0,0.345,0,1.43940080312826,0,0,0,0,0,0,0,0,0,0
2020-05-01,721.10635032894,5471.22104675223,1094.52721504207,607.094786882224,0,25,85,140,22,426,411,318,20,348,224,117,0,18,70,109,2120.39453895703,5773.55486004844,0,0,0,0,1.05824806339605,0.100238819512337,0.544822340449446,0,0.34,0,1.42891425671133,0,0,0,0,0,0,0,0,0,0
2020-05-02,724.851853068849,5482.45755497195,1094.52721504207,608.031162567201,0,25,86,140,23,428,413,321,20,356,229,121,0,18,71,111,2126.69866072095,5783.16912492912,0,1,0,0,1.0679474232871,0.09816745985784,0.548917773218321,0,0.335,0,1.4184277102944,0,0,0,0,0,0,0,0,0,0
2020-05-03,724.851853068849,5513.8768945948,1099.01569213105,611.02348062652,0,25,87,142,24,434,414,324,22,362,237,123,0,18,71,111,2142.05075667251,5806.71716374871,0,4,0,0,0.668378147092806,0.104025551010967,0.553013205987197,0,0.33,0,1.40794116387747,0,0,0,0,0,0,0,0,0,0
2020-05-04,727.243314894767,5541.37870559287,1103.79861578289,613.414942452439,0,25,90,144,24,438,416,327,23,366,247,127,0,18,74,117,2157.06299392524,5828.77258479771,0,1,0,0,0.836308561702368,0.111006022707638,0.557108638756072,0,0.325,0,1.39745461746054,0,0,0,0,0,0,0,0,0,0
2020-05-05,732.465080847986,5604.0398970315,1107.97602854546,617.592355215014,0,25,93,144,24,442,418,328,23,374,251,133,0,18,75,120,2186.41255213848,5875.66080950148,0,1,0,0,0.957530468579797,0.113762282126192,0.561204071524948,0,0.32,0,1.38696807104361,0,0,0,0,0,0,0,0,0,0
2020-05-06,737.881624663748,5645.05087163655,1118.0353242033,619.913731136055,0,25,93,147,24,443,422,329,23,376,255,136,0,18,77,121,2208.93476397069,5911.94678766896,0,7,0,0,1.2923370027269,0.117222216466229,0.565299504293823,0,0.315,0,1.37648152462668,0,0,0,0,0,0,0,0,0,0
2020-05-07,745.730000780791,5680.80458505863,1121.52349136643,619.913731136055,0,25,96,148,24,444,425,330,24,382,259,140,0,19,81,122,2227.00771237874,5940.96409596317,1,2,0,0,1.14673403335703,0.124744103758626,0.569394937062699,0,0.31,0,1.36599497820975,0,0,0,0,0,0,0,0,0,0
2020-05-08,751.318732667285,5710.61115511994,1128.04367856734,619.913731136055,0,25,98,151,24,446,431,331,24,385,263,141,0,19,82,124,2242.59070304004,5967.29659445058,0,1,0,0,1.07358880723901,0.130006227131281,0.58172088385649,0,0.306428571428571,0,1.35597877315201,0,0,0,0,0,0,0,0,0,0
2020-05-09,754.914253448265,5721.39771746287,1132.83770627532,622.310744990041,0,25,100,152,24,447,433,332,24,388,268,145,0,19,82,124,2250.39331727929,5981.06710489721,0,0,0,0,0.834371481280226,0.125976988165647,0.59404683065028,0,0.302857142857143,0,1.34596256809427,0,0,0,0,0,0,0,0,0,0
2020-05-10,759.120422872124,5750.84090342989,1134.23976274994,626.5169144139,0,25,103,152,24,448,435,334,24,397,272,150,0,19,85,126,2265.63882469606,6005.07917876979,0,0,0,0,0.713238031493188,0.123698714356122,0.606372777444071,0,0.299285714285714,0,1.33594636303652,0,0,0,0,0,0,0,0,0,0
2020-05-11,766.743718042728,5797.85122364861,1141.86305792054,630.328561999202,0,25,105,152,24,450,439,334,24,400,277,154,0,19,86,126,2291.3371146772,6045.44944693389,0,1,0,0,0.787061220341661,0.116368879012894,0.618698724237862,0,0.295714285714286,0,1.32593015797878,0,0,0,0,0,0,0,0,0,0
2020-05-12,772.816354310436,5821.27424925263,1144.46561632099,631.196081466018,0,25,107,153,24,454,439,335,24,405,278,156,0,19,91,126,2304.18852780064,6065.56377354942,0,1,0,0,1.15271188515331,0.115097663751797,0.631024671031653,0,0.292142857142857,0,1.31591395292104,0,0,0,0,0,0,0,0,0,0
2020-05-13,777.856712668084,5846.47604104087,1146.62576990284,631.916132659967,0,25,111,153,24,459,440,335,24,410,280,159,0,19,93,126,2315.88988950539,6086.98476676636,1,1,0,0,1.38879014214889,0.114903171452713,0.643350617825443,0,0.288571428571429,0,1.3058977478633,0,0,0,0,0,0,0,0,0,0
2020-05-14,785.669322945431,5899.42817736511,1154.43838018018,631.916132659967,0,25,113,154,24,461,443,336,24,412,283,163,0,19,93,126,2340.88006745316,6130.57194569753,1,3,0,0,1.15198373917309,0.112181443240369,0.655676564619234,0,0.285,0,1.29588154280556,0,0,0,0,0,0,0,0,0,0
