date,retail,grocery,parks,transit,workplaces,residential,contacts
2020-02-16,10.0,7.5,9.5,7.5,4.0,-1.5,24.30095405647008
2020-02-23,3.5714285714285716,2.7142857142857144,1.4285714285714286,5.857142857142857,5.714285714285714,-1.2857142857142858,23.404874815755793
2020-03-01,2.7142857142857144,6.428571428571429,3.857142857142857,5.571428571428571,6.714285714285714,-1.1428571428571428,23.244723578612938
2020-03-08,4.428571428571429,5.0,5.142857142857143,5.571428571428571,7.571428571428571,-1.4285714285714286,23.361345647184365
2020-03-15,-14.714285714285714,8.714285714285714,-9.0,-14.285714285714286,-7.285714285714286,3.0,19.017823428612935
2020-03-22,-44.857142857142854,-18.285714285714285,-23.142857142857142,-42.857142857142854,-29.142857142857142,10.142857142857142,12.559691058612938
2020-03-29,-71.14285714285714,-45.142857142857146,-55.42857142857143,-65.57142857142857,-46.0,19.428571428571427,7.20263660289865
2020-04-05,-70.14285714285714,-42.714285714285715,-52.285714285714285,-66.42857142857143,-47.857142857142854,19.142857142857142,7.221572175755796
2020-04-12,-64.85714285714286,-34.285714285714285,-44.57142857142857,-62.857142857142854,-46.285714285714285,17.285714285714285,8.20619963004151
2020-04-19,-65.71428571428571,-34.857142857142854,-45.714285714285715,-65.0,-54.57142857142857,18.714285714285715,8.100978760041508
2020-04-26,-67.57142857142857,-43.0,-45.0,-66.42857142857143,-49.857142857142854,18.428571428571427,7.52333996147008
2020-05-03,-61.285714285714285,-34.142857142857146,-41.285714285714285,-61.714285714285715,-45.42857142857143,16.0,8.671785611470078
2020-05-10,-56.142857142857146,-27.857142857142858,-35.714285714285715,-55.857142857142854,-35.714285714285715,13.857142857142858,9.70316536147008
2020-05-17,-43.714285714285715,-16.571428571428573,-10.0,-43.285714285714285,-30.285714285714285,9.428571428571429,12.633571688612935
2020-05-24,-33.57142857142857,-9.428571428571429,-22.0,-32.0,-24.714285714285715,6.857142857142857,15.148724862898652
2020-05-31,-33.57142857142857,-9.285714285714286,-35.714285714285715,-30.285714285714285,-21.857142857142858,7.0,15.318601965755795
2020-06-07,-23.142857142857142,-5.571428571428571,-12.142857142857142,-24.714285714285715,-21.285714285714285,4.142857142857143,17.11782223147008
2020-06-14,-20.428571428571427,-4.571428571428571,-1.5714285714285714,-25.857142857142858,-20.0,3.5714285714285716,17.118452361470077
2020-06-21,-12.428571428571429,-0.2857142857142857,-7.714285714285714,-21.0,-15.285714285714286,2.0,18.42892563004151
2020-06-28,-11.0,-1.0,10.714285714285714,-17.714285714285715,-15.857142857142858,0.42857142857142855,19.112730568612935
2020-07-05,-10.0,-0.14285714285714285,21.571428571428573,-18.142857142857142,-16.285714285714285,-0.14285714285714285,19.146562660041507
2020-07-12,-9.428571428571429,0.2857142857142857,22.0,-17.142857142857142,-17.571428571428573,-0.42857142857142855,19.409528158612936
2020-07-19,-6.714285714285714,3.142857142857143,26.142857142857142,-16.857142857142858,-18.714285714285715,0.0,19.737379105755792
2020-07-26,-7.857142857142857,0.14285714285714285,35.42857142857143,-18.0,-20.142857142857142,0.0,19.50593961432722
2020-08-02,-10.0,-0.42857142857142855,42.714285714285715,-20.0,-22.142857142857142,-0.14285714285714285,19.06914379289865
2020-08-09,-8.142857142857142,2.0,52.142857142857146,-20.571428571428573,-23.714285714285715,-0.14285714285714285,19.198599640041508
2020-08-16,-4.285714285714286,5.714285714285714,53.142857142857146,-19.571428571428573,-26.0,-0.42857142857142855,19.78710997147008
2020-08-23,-6.285714285714286,2.0,51.714285714285715,-19.714285714285715,-23.857142857142858,-0.7142857142857143,19.506383415755792
2020-08-30,-8.0,1.1428571428571428,49.57142857142857,-19.428571428571427,-22.714285714285715,-1.0,19.359252315755793
2020-09-06,-9.142857142857142,0.42857142857142855,37.57142857142857,-19.285714285714285,-20.714285714285715,-1.1428571428571428,19.205589688612935
2020-09-13,-3.142857142857143,6.0,42.714285714285715,-15.142857142857142,-19.571428571428573,-3.0,20.36252908147008
2020-09-20,-3.5714285714285716,6.428571428571429,35.42857142857143,-13.142857142857142,-16.857142857142858,-3.142857142857143,20.547188080041508
2020-09-27,-11.857142857142858,3.5714285714285716,12.571428571428571,-14.142857142857142,-16.0,-1.2857142857142858,19.627074038612935
2020-10-04,-14.714285714285714,1.1428571428571428,-1.2857142857142858,-14.428571428571429,-18.0,-0.5714285714285714,19.40806744147008
2020-10-11,-17.142857142857142,2.0,-2.142857142857143,-15.428571428571429,-17.0,-0.2857142857142857,18.993945887184367
2020-10-18,-17.857142857142858,4.0,-10.857142857142858,-16.714285714285715,-16.857142857142858,1.4285714285714286,18.71592633004151
2020-10-25,-22.142857142857142,1.0,-12.571428571428571,-21.142857142857142,-17.428571428571427,2.142857142857143,17.639943420041508
2020-11-01,-25.285714285714285,-1.7142857142857142,-20.285714285714285,-25.714285714285715,-21.285714285714285,3.4285714285714284,16.76725410004151
2020-11-08,-27.142857142857142,-2.142857142857143,-22.571428571428573,-27.428571428571427,-21.571428571428573,4.0,16.33592991289865
2020-11-15,-31.0,-5.285714285714286,-30.0,-32.285714285714285,-26.857142857142858,6.0,15.409312511470079
2020-11-22,-33.0,-6.571428571428571,-34.142857142857146,-34.857142857142854,-27.857142857142858,7.0,14.853001234327223
2020-11-29,-33.714285714285715,-8.0,-33.42857142857143,-35.142857142857146,-27.857142857142858,7.142857142857143,14.743927638612936
2020-12-06,-32.142857142857146,-5.428571428571429,-31.285714285714285,-37.142857142857146,-33.57142857142857,8.0,14.774880471470079
2020-12-13,-32.857142857142854,-7.0,-34.57142857142857,-35.285714285714285,-26.571428571428573,7.285714285714286,14.745804020041508
2020-12-20,-24.0,2.2857142857142856,-21.571428571428573,-27.142857142857142,-25.428571428571427,5.857142857142857,16.80598468147008
2020-12-27,-36.57142857142857,-11.857142857142858,-19.142857142857142,-42.857142857142854,-47.857142857142854,9.142857142857142,14.005692618612937
2021-01-03,-39.0,-14.428571428571429,-6.857142857142857,-46.285714285714285,-52.714285714285715,10.714285714285714,13.420762820041508
2021-01-10,-32.714285714285715,-8.0,-25.285714285714285,-38.285714285714285,-29.428571428571427,8.0,14.378276600041508
2021-01-17,-34.714285714285715,-9.0,-33.0,-40.142857142857146,-26.714285714285715,6.571428571428571,13.795323707184366
2021-01-24,-32.857142857142854,-9.571428571428571,-26.428571428571427,-38.57142857142857,-24.857142857142858,6.142857142857143,14.142640484327224
2021-01-31,-33.0,-9.571428571428571,-31.285714285714285,-38.142857142857146,-24.142857142857142,5.571428571428571,14.172633978612936
2021-02-07,-29.571428571428573,-6.714285714285714,-24.142857142857142,-34.42857142857143,-24.428571428571427,3.7142857142857144,15.090112787184365
2021-02-14,-27.142857142857142,-2.2857142857142856,-30.857142857142858,-31.571428571428573,-21.857142857142858,3.142857142857143,15.66988603147008
2021-02-21,-26.857142857142858,-0.5714285714285714,-32.0,-30.428571428571427,-20.0,2.7142857142857144,15.809927180041509
2021-02-28,-21.428571428571427,3.4285714285714284,-16.285714285714285,-24.714285714285715,-16.857142857142858,0.8571428571428571,17.096580514327222
2021-03-07,-22.428571428571427,5.285714285714286,-20.428571428571427,-25.0,-17.0,1.0,16.968069907184365
2021-03-14,-25.142857142857142,4.0,-26.0,-27.571428571428573,-18.285714285714285,2.2857142857142856,16.360408825755794
2021-03-21,-28.571428571428573,2.142857142857143,-34.142857142857146,-30.714285714285715,-18.0,3.4285714285714284,15.536319394327222
2021-03-28,-29.0,0.8571428571428571,-21.714285714285715,-29.142857142857142,-18.428571428571427,2.5714285714285716,15.77225649147008
2021-04-04,-28.0,1.7142857142857142,-15.857142857142858,-27.857142857142858,-20.714285714285715,2.142857142857143,16.15794588289865
