date,retail,grocery,parks,transit,workplaces,residential,contacts
2020-02-16,4.25,7.5,4.0,5.0,5.25,-1.0,23.34197300397008
2020-02-23,4.642857142857143,6.928571428571429,4.142857142857143,4.785714285714286,5.0,-1.0714285714285714,23.35091085147008
2020-03-01,1.7857142857142858,7.642857142857143,0.8571428571428571,2.857142857142857,5.214285714285714,-0.5714285714285714,22.77793424789865
2020-03-08,4.357142857142857,7.714285714285714,13.142857142857142,1.3571428571428572,-8.071428571428571,1.1428571428571428,23.270204481470078
2020-03-15,-12.857142857142858,2.142857142857143,-0.5,-9.071428571428571,-10.142857142857142,2.5714285714285716,20.142477682184364
2020-03-22,-47.785714285714285,-16.142857142857142,-32.785714285714285,-35.5,-36.0,12.928571428571429,13.771024238612938
2020-03-29,-65.21428571428571,-35.357142857142854,-36.07142857142857,-51.642857142857146,-53.142857142857146,18.714285714285715,10.272475171470079
2020-04-05,-71.35714285714286,-41.857142857142854,-48.42857142857143,-61.5,-60.142857142857146,22.571428571428573,8.395262834327221
2020-04-12,-71.71428571428571,-43.285714285714285,-45.92857142857143,-62.0,-61.857142857142854,22.928571428571427,8.348532292898653
2020-04-19,-74.28571428571429,-47.214285714285715,-43.642857142857146,-64.21428571428571,-66.28571428571429,23.714285714285715,7.933035485041508
2020-04-26,-84.64285714285714,-64.28571428571429,-59.857142857142854,-76.85714285714286,-72.5,29.714285714285715,5.202184349327222
2020-05-03,-65.64285714285714,-38.42857142857143,-33.142857142857146,-55.785714285714285,-56.214285714285715,18.571428571428573,9.676537698612936
2020-05-10,-67.92857142857143,-42.285714285714285,-44.142857142857146,-59.857142857142854,-55.5,20.285714285714285,8.783953126470081
2020-05-17,-56.0,-30.571428571428573,-23.071428571428573,-48.57142857142857,-48.642857142857146,14.357142857142858,11.405422605755794
2020-05-24,-53.5,-32.0,-27.0,-48.5,-49.5,15.0,11.66850976147008
2020-05-31,,,,,,,
2020-06-07,,,,,,,
2020-06-14,,,,,,,
2020-06-21,,,,,,,
2020-06-28,,,,,,,
