date,retail,grocery,parks,transit,workplaces,residential,contacts
2020-02-16,6.0,7.5,18.5,6.0,2.5,-1.0,23.76438785147008
2020-02-23,8.285714285714286,4.714285714285714,35.857142857142854,9.0,2.0,-1.4285714285714286,24.473595514327222
2020-03-01,9.142857142857142,11.142857142857142,31.285714285714285,6.857142857142857,-1.0,0.0,24.314045618612937
2020-03-08,3.857142857142857,7.714285714285714,7.428571428571429,1.1428571428571428,3.142857142857143,0.5714285714285714,22.75862594289865
2020-03-15,-20.285714285714285,13.142857142857142,-0.2857142857142857,-13.428571428571429,-7.714285714285714,6.571428571428571,18.68789567289865
2020-03-22,-60.0,-19.285714285714285,-42.42857142857143,-47.714285714285715,-48.285714285714285,21.857142857142858,11.182398412898651
2020-03-29,-69.0,-27.571428571428573,-51.857142857142854,-55.0,-51.857142857142854,24.285714285714285,9.343573410041508
2020-04-05,-68.71428571428571,-29.571428571428573,-45.42857142857143,-54.857142857142854,-57.857142857142854,25.714285714285715,9.623483477184369
2020-04-12,-67.14285714285714,-29.285714285714285,-34.42857142857143,-52.285714285714285,-58.57142857142857,25.142857142857142,10.208542027184365
2020-04-19,-64.85714285714286,-28.0,-30.428571428571427,-49.57142857142857,-53.0,23.857142857142858,10.636686565755795
2020-04-26,-62.714285714285715,-26.571428571428573,-29.714285714285715,-47.0,-50.285714285714285,22.571428571428573,11.139299007184366
2020-05-03,-59.42857142857143,-22.142857142857142,-14.571428571428571,-42.714285714285715,-51.285714285714285,21.714285714285715,12.165264168612936
2020-05-10,-49.0,-14.142857142857142,-11.571428571428571,-34.142857142857146,-42.714285714285715,19.285714285714285,14.145963784327222
2020-05-17,-49.714285714285715,-16.142857142857142,-5.0,-34.285714285714285,-41.142857142857146,18.285714285714285,13.999577467184366
2020-05-24,-42.57142857142857,-13.285714285714286,-1.2857142857142858,-31.428571428571427,-36.57142857142857,17.142857142857142,14.913847778612936
2020-05-31,-34.857142857142854,-11.428571428571429,3.5714285714285716,-29.0,-31.142857142857142,15.142857142857142,15.774891874327222
2020-06-07,-27.285714285714285,-9.285714285714286,9.714285714285714,-25.571428571428573,-27.285714285714285,13.0,16.84755166432722
2020-06-14,-22.571428571428573,-8.571428571428571,21.428571428571427,-23.571428571428573,-23.0,9.857142857142858,17.420678728612934
2020-06-21,-16.571428571428573,-6.428571428571429,18.142857142857142,-22.285714285714285,-20.714285714285715,8.857142857142858,18.066554824327223
2020-06-28,-13.571428571428571,-6.285714285714286,32.285714285714285,-19.571428571428573,-21.0,6.714285714285714,18.783174878612936
2020-07-05,-9.857142857142858,-6.142857142857143,41.142857142857146,-16.142857142857142,-24.857142857142858,5.857142857142857,19.816774347184364
2020-07-12,-7.142857142857143,-4.285714285714286,43.42857142857143,-13.0,-18.142857142857142,3.857142857142857,20.308271851470078
2020-07-19,-3.2857142857142856,-4.142857142857143,48.0,-10.142857142857142,-17.714285714285715,3.0,21.09552118147008
2020-07-26,-1.0,-3.0,58.714285714285715,-6.714285714285714,-17.714285714285715,2.7142857142857144,21.855469947184364
2020-08-02,-1.4285714285714286,-2.2857142857142856,58.57142857142857,-7.571428571428571,-19.428571428571427,3.142857142857143,21.744133154327223
2020-08-09,0.5714285714285714,-1.0,61.285714285714285,-6.142857142857143,-19.857142857142858,3.857142857142857,22.16881119147008
2020-08-16,-3.4285714285714284,-3.142857142857143,75.57142857142857,-9.0,-30.142857142857142,6.0,21.749590128612937
2020-08-23,-7.714285714285714,-5.714285714285714,40.0,-12.0,-25.714285714285715,6.285714285714286,20.71407136147008
2020-08-30,-7.142857142857143,-7.428571428571429,37.333333333333336,-13.714285714285714,-21.0,5.0,20.301826158612936
2020-09-06,-6.714285714285714,-7.714285714285714,32.5,-14.857142857142858,-20.571428571428573,4.857142857142857,20.135931094327223
2020-09-13,-6.857142857142857,-10.0,16.333333333333332,-16.142857142857142,-28.857142857142858,6.571428571428571,20.233173197184364
2020-09-20,-6.285714285714286,-8.857142857142858,25.285714285714285,-13.428571428571429,-19.428571428571427,5.285714285714286,20.362715470041508
2020-09-27,-7.0,-6.142857142857143,32.857142857142854,-10.0,-24.0,6.857142857142857,21.03713847147008
2020-10-04,-7.0,-4.0,28.571428571428573,-9.285714285714286,-15.857142857142858,5.285714285714286,20.839545761470077
2020-10-11,-9.142857142857142,-4.571428571428571,22.857142857142858,-10.285714285714286,-15.857142857142858,5.571428571428571,20.488977630041507
2020-10-18,-15.857142857142858,-4.714285714285714,7.0,-12.714285714285714,-17.0,7.571428571428571,19.54982746147008
2020-10-25,-17.428571428571427,-5.285714285714286,12.0,-12.857142857142858,-17.285714285714285,8.142857142857142,19.40027562432722
2020-11-01,-19.0,-4.571428571428571,3.7142857142857144,-15.857142857142858,-17.428571428571427,8.142857142857142,18.77826235004151
2020-11-08,-19.285714285714285,-5.714285714285714,7.714285714285714,-17.857142857142858,-20.857142857142858,8.857142857142858,18.558797201470078
2020-11-15,-21.142857142857142,-6.285714285714286,0.42857142857142855,-19.857142857142858,-17.428571428571427,8.714285714285714,17.93739998861294
2020-11-22,-24.142857142857142,-8.285714285714286,-25.428571428571427,-24.428571428571427,-18.285714285714285,10.428571428571429,16.96138087004151
2020-11-29,-17.285714285714285,-5.428571428571429,-28.0,-22.857142857142858,-17.714285714285715,9.571428571428571,17.794980960041507
2020-12-06,-17.428571428571427,-4.428571428571429,-24.571428571428573,-21.142857142857142,-16.428571428571427,9.0,18.013042347184367
2020-12-13,-12.714285714285714,-4.142857142857143,-15.714285714285714,-21.857142857142858,-24.0,10.0,18.600277638612937
2020-12-20,-12.857142857142858,-1.0,-13.142857142857142,-17.142857142857142,-16.142857142857142,7.857142857142857,19.054963890041506
2020-12-27,-12.857142857142858,-3.7142857142857144,-2.2857142857142856,-21.0,-37.857142857142854,11.0,19.26279741147008
2021-01-03,-14.142857142857142,-8.142857142857142,13.428571428571429,-21.714285714285715,-44.857142857142854,13.0,19.303991677184364
2021-01-10,-22.857142857142858,-9.857142857142858,-19.714285714285715,-23.0,-21.714285714285715,10.571428571428571,17.439485580041506
2021-01-17,-29.142857142857142,-13.714285714285714,-36.0,-26.857142857142858,-19.428571428571427,9.428571428571429,16.171940078612934
2021-01-24,-26.285714285714285,-13.571428571428571,-26.142857142857142,-24.571428571428573,-19.428571428571427,8.714285714285714,16.795013215755795
2021-01-31,-24.285714285714285,-10.428571428571429,-24.142857142857142,-23.714285714285715,-19.428571428571427,8.428571428571429,17.10975822147008
2021-02-07,-21.285714285714285,-8.142857142857142,-12.714285714285714,-22.285714285714285,-18.285714285714285,7.142857142857143,17.561106662898652
2021-02-14,-16.857142857142858,-5.714285714285714,-3.2857142857142856,-24.428571428571427,-24.857142857142858,8.0,17.851315088612935
2021-02-21,-17.285714285714285,-1.8571428571428572,-4.571428571428571,-22.857142857142858,-18.714285714285715,7.142857142857143,17.833582820041507
2021-02-28,-16.285714285714285,0.7142857142857143,-6.285714285714286,-21.428571428571427,-15.571428571428571,6.285714285714286,18.03306660147008
2021-03-07,-26.285714285714285,1.4285714285714286,-14.285714285714286,-23.0,-18.714285714285715,8.285714285714286,17.024261245755795
2021-03-14,-41.285714285714285,-1.5714285714285714,-18.857142857142858,-29.0,-25.714285714285715,11.714285714285714,15.003928755755794
2021-03-21,-46.42857142857143,-4.714285714285714,-15.571428571428571,-33.42857142857143,-38.0,16.0,14.305284374327222
2021-03-28,-41.0,-0.8571428571428571,-11.142857142857142,-28.0,-30.142857142857142,13.0,15.363262822898651
